DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2020-01-01,7,2,8,3,6,4,0,90,10,1034,2.5,7,3,1,116,113,113,0,2,8.1,météo très défavorable,16:47:00,08:41:00,2
2020-01-02,6,0,18,1,6,5,0,93,10,1031,49.5,6,4,-2,116,116,122,0,2,6.8,météo très défavorable,16:48:00,08:41:00,0
2020-01-03,9,4,29,8,9,7,2.6,92,7.875,1028,90,9,8,4,266,176,296,0,2,3,météo défavorable,16:49:00,08:41:00,8
2020-01-04,6,2,21,2,5,5,0.4,93,10,1034,70.125,6,3,-2,119,116,176,0,2,4.9,météo très défavorable,16:50:00,08:41:00,3
2020-01-05,5,0,11,3,5,4,0,94,9,1036,50.625,5,3,-0,143,116,116,0,1,8.1,météo très défavorable,16:51:00,08:40:00,3
2020-01-06,5,-3,15,1,5,2,0,92,10,1033,18,5,1,-1,116,116,116,0,1,8.1,météo très défavorable,16:52:00,08:40:00,2
2020-01-07,7,2,14,6,6,5,0.1,97,8,1029,52.5,7,5,2,122,143,116,0,3,6.8,météo très défavorable,16:53:00,08:40:00,5
2020-01-08,11,5,22,9,10,11,0.3,97,9.375,1026,98.625,11,10,5,122,122,122,0,3,3.1,météo défavorable,16:55:00,08:39:00,8
2020-01-09,11,10,27,10,11,11,10.2,93,6.875,1022,100,11,10,7,122,296,296,0,3,3.1,météo défavorable,16:56:00,08:39:00,10
2020-01-10,8,4,30,7,7,5,7.5,89,7,1030,90.625,8,5,2,266,266,353,0,2,3.1,météo très défavorable,16:57:00,08:39:00,7
2020-01-11,5,1,17,1,4,3,0,93,10,1033,27.75,5,2,-2,116,116,116,0,1,8.2,météo très défavorable,16:59:00,08:38:00,2
2020-01-12,6,2,31,3,5,6,0.3,90,9,1028,57.25,8,6,-2,116,116,266,0,2,5.1,météo très défavorable,17:00:00,08:37:00,3
2020-01-13,7,2,24,4,6,5,1,95,9,1024,88.625,8,6,0,176,122,176,0,2,3.2,météo très défavorable,17:02:00,08:37:00,4
2020-01-14,9,4,41,8,9,9,2.6,82,6.875,1008,99.25,9,6,4,266,266,122,0,2,3.3,météo défavorable,17:03:00,08:36:00,8
2020-01-15,10,7,38,8,9,9,0.4,79,9.625,1017,64.125,10,6,3,116,116,176,0,2,6.9,météo défavorable,17:04:00,08:35:00,9
2020-01-16,9,4,23,4,8,8,0,92,10,1026,23.375,9,6,1,116,116,119,0,3,6.9,météo très défavorable,17:06:00,08:35:00,4
2020-01-17,9,6,23,7,8,8,4.4,90,7.625,1019,65.125,9,7,3,116,266,263,0,2,3.3,météo défavorable,17:08:00,08:34:00,8
2020-01-18,5,2,18,3,4,3,1,89,9.25,1030,76.25,5,2,-1,122,116,176,0,2,3.3,météo très défavorable,17:09:00,08:33:00,3
2020-01-19,5,1,22,1,5,3,3.2,92,9.5,1042,78,5,1,-3,353,182,176,0,2,3.3,météo très défavorable,17:11:00,08:32:00,1
2020-01-20,5,0,12,1,4,3,0,98,5.5,1047,52.125,5,2,-2,248,143,116,0,2,6.9,météo très défavorable,17:12:00,08:31:00,0
2020-01-21,6,1,5,2,6,4,0,86,9.625,1045,4.125,6,1,1,113,113,113,0,1,8.7,météo très défavorable,17:14:00,08:30:00,2
2020-01-22,5,-2,8,1,4,3,0,74,10,1039,41.5,5,1,-1,113,116,116,0,1,8.7,météo très défavorable,17:16:00,08:29:00,1
2020-01-23,5,-2,12,1,4,3,0,92,9,1036,6.625,5,1,-2,116,116,113,0,2,8.7,météo très défavorable,17:17:00,08:28:00,1
2020-01-24,6,0,6,0,5,3,0,88,10,1027,12.875,6,1,-2,116,116,116,0,2,8.7,météo très défavorable,17:19:00,08:27:00,1
2020-01-25,6,0,8,0,6,4,0,83,10,1023,27.625,6,3,-2,116,116,116,0,2,8.7,météo très défavorable,17:21:00,08:25:00,1
2020-01-26,7,1,19,2,6,6,0,92,10,1019,46.625,7,5,-2,116,116,119,0,2,6.9,météo très défavorable,17:22:00,08:24:00,2
2020-01-27,9,3,27,8,9,7,14.7,92,7.875,1013,94.75,9,6,4,296,296,353,0,3,3.4,météo défavorable,17:24:00,08:23:00,7
2020-01-28,6,0,33,4,4,3,20.3,90,7,1001,90.5,6,5,-2,200,335,395,6.3,1,3.4,météo très défavorable,17:26:00,08:22:00,5
2020-01-29,5,2,29,2,4,3,0.1,87,10,1016,61.375,5,0,-4,122,116,176,0,2,5.2,météo très défavorable,17:27:00,08:20:00,2
2020-01-30,8,2,25,4,8,5,0.2,92,10,1014,74.875,8,9,0,116,116,176,0,3,5.2,météo très défavorable,17:29:00,08:19:00,5
2020-01-31,11,7,24,10,10,11,0.7,88,8.625,1012,89.625,11,11,7,176,176,122,0,3,3.4,météo défavorable,17:31:00,08:18:00,11
2020-02-01,12,7,33,11,12,9,23.2,95,6.375,1012,96.5,12,10,8,266,302,389,0,3,3.4,météo très défavorable,17:33:00,08:16:00,11
2020-02-02,12,6,30,6,11,11,6.1,96,8.625,1014,87.375,12,11,3,122,296,176,0,2,3.4,météo défavorable,17:34:00,08:15:00,6
2020-02-03,10,7,28,9,10,9,15,90,8.5,1015,97,10,9,6,302,176,353,0,2,3.5,météo défavorable,17:36:00,08:13:00,9
2020-02-04,6,-4,29,3,5,0,13,88,8.375,1025,79.625,6,4,-2,176,122,338,1.3,1,3.5,météo très défavorable,17:38:00,08:12:00,4
2020-02-05,7,-1,7,1,6,4,0.3,96,7.75,1036,41.625,7,2,-1,143,119,116,0,1,7,météo très défavorable,17:40:00,08:10:00,2
2020-02-06,8,2,5,2,7,6,0,93,10,1035,26.625,8,3,0,122,116,116,0,3,8.7,météo très défavorable,17:41:00,08:09:00,3
2020-02-07,9,2,17,2,7,5,0,84,10,1029,0,9,2,-0,113,113,113,0,3,8.7,météo très défavorable,17:43:00,08:07:00,3
2020-02-08,7,3,22,5,7,6,3.8,89,7.25,1022,80.25,7,5,0,122,122,266,0,3,3.5,météo très défavorable,17:45:00,08:05:00,4
2020-02-09,9,2,53,7,9,7,1.4,87,8.5,1020,83.75,10,8,3,122,122,122,0,2,3.5,météo défavorable,17:47:00,08:04:00,7
2020-02-10,10,5,44,8,6,6,19.2,80,8.625,1005,84.125,11,9,1,299,299,353,0,2,3.5,météo très défavorable,17:48:00,08:02:00,10
2020-02-11,5,1,36,2,5,4,2.3,73,9.375,1014,42.625,5,0,-3,176,323,353,0.4,1,8.7,météo très défavorable,17:50:00,08:00:00,3
2020-02-12,5,-2,30,1,3,3,2.6,86,9.625,1019,56.5,5,1,-4,323,323,353,0.8,2,5.4,météo très défavorable,17:52:00,07:59:00,2
2020-02-13,7,2,31,3,5,6,13.6,92,9.125,1017,89.5,7,4,-3,122,296,353,0,1,3.7,météo très défavorable,17:53:00,07:57:00,3
2020-02-14,8,5,20,5,7,7,1.8,90,9.875,1023,63.875,8,5,1,176,116,122,0,2,7.1,météo très défavorable,17:55:00,07:55:00,5
2020-02-15,10,6,31,6,9,10,0,93,10,1022,82.5,10,7,2,119,122,122,0,3,3.8,météo défavorable,17:57:00,07:53:00,6
2020-02-16,14,9,55,12,13,14,5,75,9.125,1014,85.875,14,9,8,176,263,119,0,4,3.8,météo défavorable,17:59:00,07:52:00,11
2020-02-17,9,6,28,6,8,7,9.8,82,9.375,1017,70.75,9,5,2,176,116,353,0,2,10,météo défavorable,18:00:00,07:50:00,7
2020-02-18,7,2,31,4,6,6,1.4,86,9.5,1025,83.875,7,4,-1,176,119,353,0,2,5.3,météo très défavorable,18:02:00,07:48:00,6
2020-02-19,6,1,26,3,5,5,7.9,87,8.875,1022,85.75,6,4,-2,302,326,122,0.9,1,6.9,météo très défavorable,18:04:00,07:46:00,5
2020-02-20,8,4,32,5,8,8,3.7,91,8.75,1020,94.875,8,5,1,122,122,176,0,2,5.3,météo très défavorable,18:06:00,07:44:00,6
2020-02-21,7,1,25,1,6,6,2,84,9.875,1029,59.625,7,3,-3,116,116,176,0,1,6.9,météo très défavorable,18:07:00,07:42:00,2
2020-02-22,9,3,36,5,7,7,0,80,10,1026,53.625,9,7,-1,116,116,122,0,3,6.9,météo très défavorable,18:09:00,07:40:00,5
2020-02-23,12,8,46,8,12,12,10.7,90,7.125,1025,99.875,12,10,4,266,296,266,0,3,5.4,météo défavorable,18:11:00,07:38:00,8
2020-02-24,11,6,36,6,11,11,1.1,93,7.375,1025,91.375,11,9,3,122,176,176,0,2,5.4,météo défavorable,18:12:00,07:36:00,6
2020-02-25,9,5,28,5,7,6,3.8,78,9.625,1007,80.5,9,7,1,353,116,353,0,2,7,météo très défavorable,18:14:00,07:34:00,7
2020-02-26,4,0,36,0,2,3,1.9,91,7.5,1010,78.125,4,2,-6,179,230,362,0.6,1,7,météo très défavorable,18:16:00,07:32:00,2
2020-02-27,5,0,41,0,2,5,6.6,95,6.75,1012,91.375,6,6,-5,122,230,296,1.7,1,5.4,météo très défavorable,18:17:00,07:30:00,0
2020-02-28,6,1,17,2,5,5,4.5,93,8.625,1006,89.375,6,7,-2,176,122,176,0,1,5.5,météo très défavorable,18:19:00,07:28:00,2
2020-02-29,10,3,44,7,10,4,8.4,92,6.5,1005,88.125,10,7,2,266,116,296,0,2,5.5,météo défavorable,18:21:00,07:26:00,8
2020-03-01,7,1,38,4,7,5,6.4,82,9.5,997,82,7,4,-2,176,119,353,0,2,7,météo très défavorable,18:23:00,07:24:00,4
2020-03-02,6,1,44,4,4,2,14.6,93,8.75,997,81,6,3,-2,122,353,299,0,1,5.5,météo très défavorable,18:24:00,07:22:00,3
2020-03-03,7,1,26,1,6,4,2.5,91,10,1006,45.125,7,2,-4,116,116,353,0,2,7,météo très défavorable,18:26:00,07:20:00,1
2020-03-04,7,0,18,0,6,5,0.4,92,10,1014,51,7,1,-3,116,116,353,0,1,7.1,météo très défavorable,18:28:00,07:18:00,1
2020-03-05,8,4,27,5,7,7,27.4,92,6.125,1007,100,8,6,1,266,302,302,0,2,5.6,météo très défavorable,18:29:00,07:15:00,5
2020-03-06,6,2,26,5,6,4,20.6,95,7.75,1007,90,6,5,0,296,266,353,0,2,5.6,météo très défavorable,18:31:00,07:13:00,5
2020-03-07,8,0,18,0,7,6,0.7,95,8.875,1018,69.375,8,3,-3,116,119,176,0,2,5.6,météo très défavorable,18:33:00,07:11:00,1
2020-03-08,8,4,34,6,7,8,10.4,92,9.25,1018,90.25,8,7,2,122,176,299,0,2,5.6,météo très défavorable,18:34:00,07:09:00,6
2020-03-09,8,3,26,3,8,7,1.4,93,9.875,1016,71.375,8,3,-2,116,119,353,0,2,5.6,météo très défavorable,18:36:00,07:07:00,3
2020-03-10,12,5,33,8,11,12,29,96,7,1014,100,12,11,3,302,302,176,0,3,5.7,météo très défavorable,18:38:00,07:05:00,6
2020-03-11,12,5,31,11,12,9,0.9,88,7.375,1015,94,12,10,8,119,266,266,0,3,5.7,météo défavorable,18:39:00,07:02:00,12
2020-03-12,10,5,27,9,8,7,5.4,89,8.375,1015,77.625,11,9,4,296,266,176,0,2,7.2,météo défavorable,18:41:00,07:00:00,10
2020-03-13,9,4,29,4,9,7,1.3,85,10,1022,66.5,9,3,-1,119,176,353,0,2,5.9,météo très défavorable,18:43:00,06:58:00,4
2020-03-14,10,3,21,3,8,9,0.4,91,10,1023,72.875,10,4,1,119,119,176,0,2,8.8,météo très défavorable,18:44:00,06:56:00,3
2020-03-15,12,6,29,6,10,10,0.5,94,10,1018,84.75,12,7,2,176,122,122,0,3,6,météo défavorable,18:46:00,06:53:00,6
2020-03-16,15,6,8,6,13,14,0,91,10,1025,31.375,15,8,4,116,116,116,0,4,11.6,météo correcte,18:48:00,06:51:00,6
2020-03-17,14,6,12,6,13,12,0.1,89,10,1030,57.125,14,8,5,119,116,116,0,4,10.2,météo correcte,18:49:00,06:49:00,6
2020-03-18,15,8,17,8,14,14,0.2,95,9,1029,66.625,15,10,5,116,116,176,0,4,7.4,météo défavorable,18:51:00,06:47:00,8
2020-03-19,14,10,7,10,14,12,0.7,87,10,1025,70.5,14,10,10,176,119,176,0,3,6,météo défavorable,18:52:00,06:45:00,10
2020-03-20,10,5,23,7,8,6,0,95,9,1026,74.875,10,7,4,143,122,122,0,3,6.1,météo défavorable,18:54:00,06:42:00,8
2020-03-21,8,3,29,4,7,6,0.6,83,9,1026,78.875,8,3,-1,176,122,122,0,2,7.5,météo très défavorable,18:56:00,06:40:00,4
2020-03-22,9,-1,30,-1,7,6,0,68,10,1030,0,9,0,-6,113,113,113,0,2,11.6,météo très défavorable,18:57:00,06:38:00,0
2020-03-23,9,-2,26,-2,8,8,0,59,10,1031,0.25,9,0,-7,113,113,113,0,3,11.6,météo très défavorable,18:59:00,06:36:00,-1
2020-03-24,10,-1,20,-1,8,8,0,48,10,1031,5.375,10,0,-5,116,116,116,0,3,11.6,météo très défavorable,19:01:00,06:33:00,-1
2020-03-25,10,-2,21,-2,8,9,0,57,10,1028,11.375,11,0,-6,113,113,113,0,3,11.6,météo très défavorable,19:02:00,06:31:00,-2
2020-03-26,9,-2,24,-2,7,6,0,66,10,1023,6.625,9,0,-7,113,116,116,0,2,11.6,météo très défavorable,19:04:00,06:29:00,-1
2020-03-27,11,0,18,0,9,10,0,90,10,1020,15.625,12,4,-4,116,116,116,0,3,11.6,météo très défavorable,19:06:00,06:27:00,0
2020-03-28,12,4,27,4,11,10,0,97,9,1025,44.75,13,7,1,143,119,116,0,3,10.3,météo très défavorable,19:07:00,06:25:00,4
2020-03-29,6,0,40,2,5,3,0.8,77,8.625,1033,64.625,6,0,-3,116,176,362,0,1,6.4,météo très défavorable,19:09:00,06:22:00,2
2020-03-30,7,-3,20,-3,6,4,0.7,67,9.375,1033,31.875,7,2,-8,113,116,122,0,2,9,météo très défavorable,19:10:00,06:20:00,-3
2020-03-31,8,-2,21,-2,6,5,0,87,8.75,1030,11.125,8,0,-6,116,113,113,0,1,11.6,météo très défavorable,19:12:00,06:18:00,-1
2020-04-01,10,1,10,1,8,8,0,72,10,1028,3.25,10,1,0,116,116,116,0,3,11.6,météo très défavorable,19:14:00,06:16:00,1
2020-04-02,8,0,13,1,8,7,0.2,89,10,1019,55.5,8,3,-0,116,119,176,0,3,6.5,météo très défavorable,19:15:00,06:14:00,0
2020-04-03,8,4,15,4,8,8,0.3,97,8.75,1021,71.875,8,4,1,353,119,176,0,2,7.8,météo très défavorable,19:17:00,06:12:00,4
2020-04-04,13,0,11,1,11,11,0,84,10,1025,13.625,13,4,-0,116,116,116,0,3,11.6,météo très défavorable,19:18:00,06:09:00,0
2020-04-05,18,4,23,6,16,15,0,78,10,1023,0,18,8,3,113,113,113,0,4,11.6,météo favorable,19:20:00,06:07:00,4
2020-04-06,18,8,23,8,17,16,0.1,79,10,1026,11.5,19,8,5,113,116,113,0,4,11.6,météo favorable,19:22:00,06:05:00,9
2020-04-07,17,8,6,8,16,15,0.3,92,9.375,1031,24.625,17,8,8,116,116,116,0,3,11.6,météo correcte,19:23:00,06:03:00,8
2020-04-08,21,11,9,11,20,20,0,82,10,1028,21.75,23,10,10,116,116,116,0,5,11.6,météo favorable,19:25:00,06:01:00,11
2020-04-09,21,13,7,13,21,19,0.1,72,10,1025,26.625,22,11,13,116,116,116,0,5,13.3,météo favorable,19:27:00,05:59:00,13
2020-04-10,19,9,13,10,18,17,0,87,10,1027,8.125,19,10,9,116,116,116,0,5,13.7,météo favorable,19:28:00,05:57:00,9
2020-04-11,21,9,6,10,20,20,0,67,10,1025,3.375,22,9,10,113,113,116,0,5,13.8,météo favorable,19:30:00,05:55:00,9
2020-04-12,19,11,9,11,19,17,8.1,82,9.25,1021,36.125,19,11,11,116,116,356,0,5,12.1,météo correcte,19:31:00,05:53:00,11
2020-04-13,13,4,29,9,10,8,0,87,10,1024,47,13,8,5,116,122,113,0,2,11,météo correcte,19:33:00,05:50:00,11
2020-04-14,10,0,17,0,9,8,0,82,10,1028,7,10,1,-3,116,116,116,0,3,13.9,météo très défavorable,19:35:00,05:48:00,0
2020-04-15,17,2,11,3,14,16,0,79,10,1027,5.625,19,6,1,116,116,116,0,4,13.9,météo correcte,19:36:00,05:46:00,2
2020-04-16,20,7,15,8,18,17,0,74,10,1021,6.875,20,11,6,116,116,116,0,4,13.9,météo favorable,19:38:00,05:44:00,7
2020-04-17,20,11,9,12,20,17,5.6,89,9.625,1017,34,20,13,12,116,116,353,0,5,13.3,météo favorable,19:39:00,05:42:00,11
2020-04-18,19,12,10,13,19,17,8.5,93,9,1016,85.875,19,14,13,176,122,356,0,4,8.8,météo défavorable,19:41:00,05:40:00,12
2020-04-19,20,11,18,12,19,17,0.1,90,10,1018,24.125,20,13,13,116,116,116,0,4,14.1,météo favorable,19:43:00,05:38:00,11
2020-04-20,16,5,31,6,15,13,0,71,10,1018,0,16,6,2,113,113,113,0,4,14.1,météo correcte,19:44:00,05:36:00,5
2020-04-21,17,6,31,7,15,15,0,67,10,1016,9.625,17,7,3,116,113,113,0,4,14.1,météo correcte,19:46:00,05:34:00,6
2020-04-22,18,6,28,7,16,16,0,70,10,1019,0,18,8,4,113,113,113,0,4,14.2,météo favorable,19:47:00,05:32:00,6
2020-04-23,20,7,12,9,18,17,0,83,10,1020,0,20,10,7,113,113,113,0,5,14.2,météo favorable,19:49:00,05:30:00,7
2020-04-24,19,9,12,11,18,16,0,82,10,1016,39.375,19,10,11,122,119,116,0,5,14.2,météo correcte,19:50:00,05:28:00,9
2020-04-25,16,6,16,6,15,13,0,86,10,1014,0,16,6,4,113,113,113,0,4,14.3,météo correcte,19:52:00,05:26:00,6
2020-04-26,18,5,9,6,15,17,0,93,9,1012,9.625,18,8,5,143,116,113,0,4,14.3,météo favorable,19:54:00,05:24:00,5
2020-04-27,18,7,13,9,17,16,0,81,10,1010,25.5,18,10,8,116,116,119,0,4,14.3,météo favorable,19:55:00,05:22:00,7
2020-04-28,14,11,21,12,13,14,6.1,95,8,1005,80.25,14,12,12,353,302,353,0,3,9,météo défavorable,19:57:00,05:21:00,11
2020-04-29,15,10,20,10,13,13,5,95,8.75,1006,94.875,15,10,7,176,176,353,0,3,9,météo défavorable,19:58:00,05:19:00,10
